"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"WISSEMBOURG - FROESCHWILLER  1870";"";"SABATIER Robert , STROH  Paul   ";"1";"1";"acheté neuf environ 100 fr années 80";"";"1970    ";"Ville de WISSEMBOURG ";"";"155";"16 x 24";"BROCHE/ NEUF / EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"WISSEMBOURG 1870  /  FROESCHWILLER ";"GENERAL ABEL DOUAI / MAC-MAHON ";"";"";"";"";"";"";"1982    ";"100";"WOERTH / Musée de la bataille ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"CARTES  :   ++";"BIBLIO GRAPHIE ++++   TOUS PAYS";"";"PLAQUETTE QUI EXPLIQUE LES  DEUX BATAILLES  AVEC PAS MAL DE  DETAILS ,  LE TEXTE ETANT ASSEZ SERRE ,  ET QUI
PEUT CONSTITUER UN  EXCELLENT GUIDE  SUR LE CHAMP DE BATAILLE . 

Acheté au Musée de Woerth  dans les années 80  .

2 cartes schématiques , mais très explicites , en couleur , sur le déroulement général des opérations . 
BIBLIO  TRES COMPLETE  française et allemande 

PLusieurs illustrations , dessins n et blanc , au cours des pages , dont certains très intéressant 

J'ai glissé dans les pages de garde de ce livre une petite plaquette de 6 pages sur lHISTOIRE DU MONUMENT DU GEISBERG 

COTE : Cet exemploaire est NUMEROTE  , n° 319 , c'est pourquoi je le mets à 100 fr  

";"";"";"";"";"";"";"";"";"";""
"LOUIS NICOLAS VAN BLARENBERGHE A VERSAILLES ";"";"SALMON  Xavier ";"1";"1";"acheté 150 fr neuf en 2006 librairie   MA  ";"";"2006    ";"REUNION MUSEES NATIONAUX ";"";"64";"24 X 30 ";"BORCHE / NEUF/ EXCELLENT";"F 8";"";"";"";"PEINTURE MILITAIRE";"GUERRE DE 7 ANS  PAR LA PEINTURE ";"SIEGES DE MONS / NAMUR / ANVERS / OUDENARDE / ";"SIEGES D'YPRES / ATH / BRUXELLES / GAND / OSTENDE";"SIEGE DE BERG OP ZOOM / MENIN / TOURNAI / ";"SIEGES DE MAASTRICHT / FRIBOURG / ";"BATAILLES DE FONTENOY / RAUCOUX / LAWFELD ";"BATAILLE DE YORKTOWN ";"";"2006    ";"120";"PARIS / BIBL MUSEE DE L ARMEE";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++++";"";"";"";"SUPERBE OUVRAGE  PRESENTATION DE LUXE PAPIER GLACE ETC ....

CET OUVRAGE SE PROPOSE DE PRESENTER LE MAXIMUM DE PEINTURES DE CE PEINTRE MILITAIRE  DU 18° SIECLE  QUI SONT CONSERVEES AU CHATEAU DE VERSAILLES . 


CES PEINTURES  TRES BIEN FAITES  SONT CONSACREES ESSENTIELLEMENT A LA GUERRE DE 7 ANS  ( LOUIS XV  ) 

QQ PAGES DE LA BIOGRAPHIE DU PEINTE EN DEBUT DE VOLUME  PUIS LE RESTE NEST QUE REPRODUCTION ( excellentes ) DES EVENEMENTS DE CE CONFLIT 

tels que  :  SIEGE DE MONS  / NAMUR  / ANVERS/ OUDENARDE / ATH / BRUXELLES / BERG OP ZOOM / YPRES / MENIN/ OSTENDE / TOURNAI / MAASTRICHT 
                  MAIS AUSSI FRIBOURG 
                    BATAILLES DE FONTENOY / RAUCOUX / LAWFELD    MAIS AUSSI  YORKTOWN

CES VUES TRES PRECISES PERMETTENT LE PLUS SOUVENT D AVOIR UNE BELLE VUE DE CES VILLES A L EPOQUE ET AUSSI UNE BONNE IDEE DES TROUPES .   ";"";"";"";"";"";"";"";"";"";""
"HISTOIRE POSTALE DU SIEGE DE BELFORT 1870-1871";"";"SCHOULER  Georges ";"1";"1";"acheté neuf env  20 fr années 80";"";"1970    ";"BELFORT / AMICALE PHIL .";"";"92";"16 X 24";"BROCHE / NEUF / EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS / ANECDOTES";"SIEGE DE BELFORT 1870 ";"";"";"";"";"";"";"";"1980    ";"20";"?";"";"";"";"";"";"";"";"";"";"";"";"";"";"CET OUVRAGE RELATE LE SIEGE DE BELFORT AVEC ASSEZ DE PRECISION  , tout en l'éclairant sous le jour de la philatélie , c'est à dire des correspondances échangées par les soldats , avec les reproductions de cachets de lettres , de timbres etc....

Mais cet aspect philatélique n'enlève aucunement l'intérêt de l'étude historique de ce siège dans cet ouvrage . 

Nbreuses illustr : reprod de cachets et d'adresses de lettres voire d'extraits de lettres ";"";"";"";"";"";"";"";"";"";""
"CHANSONS DE L'ARMEE FRANCAISE ";"";"SECRETARIAT D'ETAT A LA GUERRE  ";"1";"1";"offert par ML et Yves en 1990  ( env 50 fr bouqu.";"";"1942    ";"PARIS / ET. CHIRON ED. ";"";"160";"14 X 21";"BROCHE / BON ETAT";"H 1 ";"";"";"";"MUSIQUE / CHANSONS ";"";"";"";"";"";"";"";"";"1990    ";"30";"Bouquiniste à  ?";"";"";"";"";"";"";"";"";"";"";"";"";"";"RECUEIL DE CHANSONS MILITAIRES FRANCAISES

PRATIQUEMENT EXHAUSTIF  AVEC LES MUSIQUES .  TRES INTERESSANT . ";"";"";"";"";"";"";"";"";"";""
"CHANSONS DE L'ARMEE FRANCAISE ";"";"SECRETARIAT D'ETAT A LA GUERRE";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TOUTES LES CHANSONS DE L'ARMEE FRANCAISE DES ORIGINES A NOS JOURS AVEC PAROLES ET MUSIQUES .

VOIR FICHE A CE TITRE EN SERIE HMRE ";"";"";"";"";"";"";"";"";"";""
"SERVICE HISTORIQUE DE L'ARMEE DE TERRE ";"S.H.A.T.";"SHAT";"1";"1";"CADEAU ";"";"1985    ";"SHAT";"";"20";"21 X 15";"BROCHE / EXCELLENT ";"F 7";"";"";"EPOQUE MODERNE ( FIN 20° SIECLE ) ";"LIEUX";"S.H.A.T.  /  S.H.E.M.";"";"";"";"";"";"";"";"1982    ";"0";"VINCENNES ";"";"";"";"";"";"";"";"";"";"";"";"";"";"PLAQUETTE PRESENTANT LE SHAT  ( autrefois appelé au début du siècle  le fameux S.H.E.M.   section historique de l 'état-major  ) 

LE CHATEAU DE VINCENNES ,  SES MISSIONS , SES LOCAUX   SES PUBLICATIONS ETC.... ";"";"";"";"";"";"";"";"";"";""
"GUERRE DE 1870-1871 / CAMPAGNE DE L'ARMEE DU NORD ";"";"SHEM";"1";"1";"acheté 90 fr chez un bouqu années 80";"";"1904    ";"PARIS / CHAPELOT";"";"600";"14 X 23";"BROCHE / MAUVAIS ETAT ";"D 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS";"ARMEE DU NORD / PONT-NOYELLES / BAPAUME ";"SAINT-QUENTIN /  FAIDHERBE";"";"";"";"";"";"";"1985    ";"120";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"";"CARTES  ++++";"";"";"OUVRAGE DE REFERENCE ETABLI PAR LES AUTEURS TRES SERIEUX DE LA SECTION HISTORIQUE DE L'ARMEE ( SHEM)

HELAS  JE N' AI DE CET OUVRAGE QUE LES TOMES 2 ,3 ET 4  : IL MANQUE LE PREMIER ( c'est pourquoi d'ailleurs je ne connais pas le nom de l'auteur et que j'ai mis SHEM à la place )  

Toutefois , je pense que le tome 1 doit être moins intéressant car il doit comme à l'habitude des ouvrages de la SHEM , faire la récapitulation des forces et les préparatifs des opérations . par contre , les 3 tomes ici présents sont consacrés aux opérations .

TOME II  :  PONT NOYELLES 
TOME III  :  BAPAUME
TOME IV  : SAINT QUENTIN 

PAS DE COMMENTAIRES A FAIRE SUR LA PRECISION, LE DETAIL, LE SERIEUX DE CE STYLE D' OUVRAGE FIDELE A LA QUALITE MAXIMALE QUI FAIT DE TOUS LES OUVRAGES DE LA SHEM DES REFERENCES SUR LES OPERATIONS 
ETUDIEES  ";" 

SANS ILLUSTR.  /
GRANDE QUANTITE DE CARTES D' ETAT- MAJOR TRES DETAILLEES ET RENSEIGNEES  A LA FIN DE CHAQUE TOME  ";"";"";"";"";"";"";"";"";"";""
"LA GRANDE GUERRE 1914 - 1918";"";"SHERMER  David";"1";"1";"acheté 50 fr neuf vers 1985  en braderie ";"300";"1977    ";"PARIS /  CATHAY  ED. ";"";"256";"23.5 X 32";"BROCHE / EXCELLENT ";"A 2";"";"";"GUERRE  1914  - 1918";"OPERATIONS";"";"";"";"";"";"";"";"";"1980    ";"200";"PARIS / LIRAIRIE DE BRADERIE";"ANGLAIS ";"ANGLETERRE";"";"";"1973    ";"LONDRES / OCTOPUS BOOKS";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"";"";"TRES INTERESSANT OUVRAGE  STYLE  GRAND LIVRE   SUR LA GRANDE GUERRE

ABORDE TOUS LES THEATRES DE COMBAT DE CET IMMENSE CONFLIT  .  TRES NOMBREUSES ILLUSTR.
TANT PHOTOS QUE PEINTURES OU AQUARELLES   DONT UNE BONNE PARTIE EN COULEURS . 

NOMBREUSES CARTES SCHEMATIQUES MAIS PRECISES .

TOUT CELA EN FAIT UN LIVRE TRES PRECIEUX ,     POUR AVOIR UNE VUE D' ENSEMBLE DE CE CONFLIT  OU POUR REABORDER UNE PARTIE DE FACON RESUMEE ,  AVANT D APPROFONDIR PAR DES OUVRAGES TECHNIQUES . 

INDEX DES NOMS  ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DU 6 AOUT 1870";"";"SIVOM VALLEE DE LA SAUER  ";"1";"1";"acheté neuf environ 30 fr années 90";"";"1999    ";"SIVOM VALLEE DE LA SAUER ";"";"32";"15 X 21";"BROCHE / NEUF / EXCELLENT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"OPERATIONS / ANECDOTES";"BATAILLE DE FROESCHWILLER /  WOERTH ";"";"";"";"";"";"";"";"1995    ";"50";"MUSEE DE WOERTH";"";"";"";"";"";"";"";"";"";"";"";"";"";"PLAQUETTES ACHETEES AU MUSEE DE WOERTH ( j'en ai deux exemplaires , dont l'une semble être une réédition de l'autre mais pas par le même organisme  )  Mais le contenu est identique . 

IL  S' AGIT D'UN PLAN DU TERRAIN , AVEC UNE GRANDE CARTE A LA FIN  INDIQUANT NOTAMMENT L'EMPLACEMENT ET LA DESIGNATION DE TOUS LES MONUMENTS  ( ce qui n'est pas du luxe vu le nombre ) 

Dans le corps du livre , il y a à peu près 1 page par village du champ de bataille , où un court texte explique ce qui s'y est passé et en plus , il y a une ou deux anecdotes très vivantes ou évocatrices . 

NOMBREUSES ILLUSTR.  TRES INT.   ( mais tout en n et blanc ) . 

ENFIN , PETITE PLAQUETTE TRES INTERESSANTE QU'IL FAUT EMMENER AVEC SOI LORS DE LA VISITE DU TERRAIN . 

COTE  :  j'estime à 25 fr le prix éventuel de revente de cette plaquette . Comme j'en ai deux , je mets 50 fr dans la case  Prix ";"";"";"";"";"";"";"";"";"";""
"INVASION 44";"";"SPEIDEL  Général Hans ...";"1";"1";"acheté neuf 7 ou 8 fr années 70";"40";"1966    ";"PARIS / FLAMMARION  ";"J'AI LU Leur aventure ";"189";"11.5 X 16.5";"BROCHE / BON ETAT";"C 1";"";"";"GUERRE 39 - 45 ";"MEMOIRES / OPERATIONS ";"DEBARQUEMENT JUIN 44  / ";"NORMANDIE JUIN 44";"ROMMEL ";"";"";"";"";"";"1972    ";"20";"LONS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"EXCELLENT RESUME SUR LES OPERATIONS DU DEBARQUEMENT EN NORMANDIE  VU DU COTE ALLEMAND  .
L' AUTEUR ETAIT CHEF D' ETAT- MAJOR DE ROMMEL   ";"";"";"";"";"";"";"";"";"";""
"CHAMP DE BATAILLE DE WOERTH-FROESCHWILLER";"GUIDE TOURISTIQUE";"SYNDICAT D'INITIATIVE DE WOERTH";"1";"1";"acheté neuf environ 20 fr syur place vers 1980";"";"1980    ";"S.I. WOERTH";"";"25";"16 X 24";"BROCHE / BON ETAT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"USUEL  ( GUIDES , DICTIONNAIRES , etc...) ";"FROESCHWILLER 1870   GUIDE ";"";"";"";"";"";"";"";"1980    ";"20";"WOERTH / Musée de la bataille ";"";"";"";"";"";"";"";"";"";"";"CARTES  :   ++";"";"";"CETTE PLAQUETTE  EN QUELQUES PAGES FAIT UN RESUME DE LA BATAILLE . 

PUIS , EN QUELQUES AUTRES PAGES,  ENUMERE TOUS LES MONUMENTS COMMEMORATIFS , SEPULTURES  ETC...
qui se trouvent sur le champ de  bataille ,  AVEC UNE BELLE CARTE A LA FIN OU ILS SONT POSITIONNES . 

TRES INTERESSANT POUR LE PROMENEUR SPECIALISE ";"";"";"";"";"";"";"";"";"";""
"LE GENERAL DE GALLIFET ";"";"THOMAS  Louis ";"1";"1";"";"";"1941    ";"PARIS /  AUX ARMES DE FRANCE ";"";"237";"14 X 20";"BROCHE /  BON ETAT ";"K 3";"";"";"";"";"GALLIFFET ";"";"";"";"";"";"";"";"2015    ";"10";"FOIRE AUX LIVRES    APF ";"";"";"";"";"";"";"";"";"";"";"";"";"";"BIOGRAPHIE DE CE CELEBRE GENERAL DU SECOND EMPIRE 

EXEMPLAIRE NON COUPE ";"";"";"";"";"";"";"";"";"";""
"AUTOUR DU DRAPEAU TRICOLORE ";"";"THOUMAS  Général --";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE HMRE 

GROS OUVRAGE GD MODELE  QUI ETUDIE LES OPERATIONS MILITAIRES DE 1789  A LA FIN DE LA GUERRE DE 1870  . 

Le volume est assez gros pour faire une SYNTHESE ASSEZ COMPLETE  de chacune des camapgnes de cette période . 

Je possède DEUX EXEMPLAIRES ORIGINAUX DE CET OUVRAGE .  L' UN  RELIE GRIS EN  E 2  ET L' AUTRE , RELIE  ROUGE , EN  G 3 ";"";"";"";"";"";"";"";"";"";""
"LA VEILLEE DES ARMES";"LE DEPART : AOUT 1914";"TINAYRE  Marcel";"1";"1";"acheté chez un bouqu  années 80   environ 20 fr";"40";"1915    ";"PARIS / CALMANN-LEVY";"";"291";"12 x  19";"BROCHE  / MEDIOCRE";"C 4";"";"";"GUERRE  14 -  18";"ROMAN  HISTORIQUE";"AOUT 1914";"";"";"";"";"";"";"";"1985    ";"40";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROMAN   /  BIEN ";"";"";"";"";"";"";"";"";"";""
"LA FRANCE SUR LE RHIN";"";"TIRARD  Paul";"1";"1";"acheté chez un bouqu / années 80  / 80 fr  ";"";"1930    ";"PARIS  / PLON ";"";"520";"14 X 22";"BROCHE / ETAT CORRECTI";"C 4";"";"";"GUERRE  1914  - 1918";"";"APRES-GUERRE  / OCCUPATION FRANCAISE ";"LES FRANCAIS EN RHENANIE ANNEES 1920 1930";"LES FRANCAIS EN RHENANIE  REVOLUTION EMPIRE ";"HOCHE / NEUWIED/ WEISSENTHURM";"";"";"";"";"1985    ";"100";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++ ";"CARTES +++";"";"";"TRES INTERESSANT OUVRAGE RETRACANT L' HISTOIRE DE L'OCCUPATION FRANCAISE DE LA RHENANIE APRES L' ARMISITICE DE 1918


UN PREMIER CHAPITRE DE 70 P   RETRACE L'HISTOIRE DE LA PREMIERE OCCUPATION FRANCAISE SOUS LA REVOLUTION ET L' EMPIRE

QQ ILLUSTR ( PHOTOS)  EN N ET BLANC 
QQ CARTES TRES PRECISES A LA FIN DU BOUQUIN 
annexes et appendices";"";"";"";"";"";"";"";"";"";""
"ARMEES  et  DEFENSE ";"REVUE PERIODIQUE";"UNION NAT. DES OFFICIERS DE RESERVE";"1";"1";"";"";"1978    ";"";"";"65";"21 X 29.7";"BORCHE / NEUF/ EXCELLENT";"N 7";"";"";"EPOQUE ACTUELLE ";"REVUE MULTI SUJETS ";"";"";"";"";"";"";"";"";"1978    ";"0";"ABONT";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"";"";"";"REVUE A LAQUELLE J AI ETE ABONNE QUELQUES ANNEES EN TANT QU OFFICIER DE RESERVE . 

ARTICLES SUR L ARMEE DU JOUR  / NOUVEAUX MATERIELS / NOUVEAUX ENJEUS GEO POLITIQUES / ACTUALITE DES REGIOSN ETC...

QQ ARTICLES INTERESSANTS  /  NBREUSES ILLUSTR. MAIS TOUT EN N ET BLANC 

J'ai 20 ou 30 numeros n'ayant été abonné que de 1978 jusque vers 1987 ou 8   ( 6 numeros par an ) ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DES FRONTIERES";"";"VALARCHE  Colonel E.  ...";"1";"1";"acheté 50 fr chez un bouqu. années 80";"";"1932    ";"PARIS / BERGER - LEVRAULT";"";"210";"16.5 X 25.5";"BROCHE / BON ETAT";"C 5 ";"";"";"GUERRE  1914 -  1918";"OPERATIONS";"BATAILLE DES FRONTIERES ";"AOUT 1914  / FRONT FRANCAIS ";"";"";"";"";"";"";"1983    ";"70";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"";"CARTES +++ ";"";"";"ETUDE TRES INTERESSANTE SUR LES PREMIERES BATAILLES DE LA GUERRE DE 1914
SUR LE FRONT FRANCAIS  EN AOUT 1914  .

ETUDE TECHNIQUE REALISEE PAR UN SPECIALISTE :  OUVRAGE DE REFERENCE 

6  CARTES COULEUR EN FIN D OUVRAGE ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DE GUISE ,  AOUT 1914";"28,29,30 AOUT 1914 AU 10° CORPS ";"VALARCHE  Colonel E.  ...";"1";"1";"acheté 60 fr chez un bouqu.  années 1980";"120";"1928    ";"PARIS / BERGER - LEVRAULT";"";"176";"16.5 X 25.5";"BROCHE / ETAT CORRECT";"C 5";"";"";"GUERRE  1914 - 1918  ";"OPERATIONS";"BATAILLE DE GUISE /  10° CORPS ";"BATAILLE DES FRONTIERES ";"";"";"";"";"";"";"1985    ";"100";"BOUQUINISTE  à  ?";"";"";"";"";"";"";"";"";"";"";"CARTES ++++";"";"";"RELATION TRES DETAILLEE DE CETTE BATAILLE  A FIN AOUT 1914  . 

Je ne l'ai pas encore lu , exemplaire non coupé . 

SANS ILLUSTR .    4 CARTES D ETAT MAJOR HYPER DETAILLEES  A LA FIN DU LIVRE ";"";"";"";"";"";"";"";"";"";""
"FORTERESSES ";"HIST. ILLUSTR. DES OUVRAGES DEFENSIFS";"VAN HOGG   Ian ";"1";"1";"acheté d'occas";" 45 fr  années 80";"";"1976    ";"PARIS / EDITA";"";"174";"22 X 28";"NEUF /RELIE CART. / EXCELLENT";"A 2";"";"";"OUVRAGE GENERAL";"LIEUX";"FORTIFICATIONS / FORTERESSES / ";"POLIORCETIQUE";"";"";"";"";"";"";"1980    ";"80";"LIBRAIRIE  ( Paris ou Lons ) ";"";"ANGLETERRE";"FORTRESS";"";"1975    ";"LONDRES";"";"";"";"ICONOGRAPHIE ++++";"";"";"";"TRES INTERESSANT OUVRAGE  D' ORIGINE ANGLAISE , SUR L' EVOLUTION DE LA FORTIFICATION  DU MOYEN AGE A NOS JOURS  .

INNOMBRABLES ILLUSTR. , TANT GRAVURES DU TEMPS , QUE PLANS, QUE SCHEMAS , QUE PHOTOS  DONT CERTAINES AERIENNES   .  TOUT EN NOIR ET BLANC . 

A LA FIN   LEXIQUE DES TERMES  TECHNIQUES DE LA FORTIFICATION 

OUVRAGE PRECIEUX ";"";"";"";"";"";"";"";"";"";""
"VAUBAN  L'HOMME DE L'ANNEE";"";"VAUBAN  /  HISTORIA ";"1";"1";"acheté 40 fr neuf en 2007";"";"2007    ";"HISTORIA ";"";"98";"20.5 X 28";"BROCHE  / NEUF / EXCELLENT";"J 6 ";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  ETUDE GENERALE ";"VAUBAN  /  PLACES FORTES DE VAUBAN ";"OPERATIONS MENEES PAR VAUBAN ";"";"";"";"";"";"";"2007    ";"10";"SUR PLACE ";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"CARTES   ++++";"";"";"NUMERO DE LA REVUE HISTORIA CONSACRE A VAUBAN 

QQ BELLES PHOTOS ET QUELQUES BEAUX PLANS   MAIS GLOBALEMENT BEAUCOUP MOINS BIEN QUE  LA RVEU SPECIALE  SUR VAUBAN PAR PAYS DU NORD  ( voir titre :coma: Vauban  Balades sur els traces d'un homme de génie :coma: ) 

TOUT AU MOINS ? LES DEUX REVUES SE COMPLETENT ";"";"";"";"";"";"";"";"";"";""
"VAUBAN A L'ASSAUT DE L'UNESCO";"REVUE PATRIMOINE DE FRANCE";"VAUBAN /  PATRIMOINE DE FRANCE ";"1";"1";"acheté neuf 40 fr en 2007";"";"2007    ";"PATRIMOINE DE FRANCE ";"";"130";"23 X 30";"BROCHE  / NEUF / EXCELLENT";"J 6 ";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  ETUDE GENERALE ";"VAUBAN / ";"";"";"";"";"";"";"";"2007    ";"20";"LIBRAIRIE   A   ?  ";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"";"";"";"NUMERO DE LA REVUE PATRIMOINE DE FRANCE       DONT UNE PARTIE SEULEMENT EST CONSACREE A VAUBAN . 


COMME INTERET  SE SITUE ENTRE LA REVUE HISTORIA  -    ET LA REVUE  PAYS DU NORD  +  

MAIS CHACUNE DE CES REVUES APPORTE DES DOCUMENTS OU DES PHOTOS OU UN ZECLAIRAGE DIFFERENT 
IL FAUT DONC LES VOIR LES TROIS .  ";"";"";"";"";"";"";"";"";"";""
"VAUBAN  BALLADES SUR LES TRACES D' UN GENIE ";"";"VAUBAN / COLLECTIF";"1";"1";"acheté neuf 40 fr en 2007 à Lille ";"à";"2007    ";"";"";"122";"18 x 28.5";"BROCHE  / NEUF / EXCELLENT";"J 6 ";"";"";"ANCIEN REGIME ";"BIOGRAPHIE /  ETUDE GENERALE ";"VAUBAN /  PLACES  FORTES DU NORD";"MENIN / LILLE  / BERGUES / CALAIS / MAUBEUGE";"YPRES / LE QUESNOY / ARRAS / ";"BAZOCHES ";"";"";"";"";"2007    ";"20";"SUR PLACE ";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"CARTES   ++++";"";"";"NUMERO SPECILA DE LA REVUE  PAYS DU NORD CONSACRE A VAUBAN ET SON OEUVRE 

MAGNIFIQUE REVUE  / INNOMBR. ILLUSTR EN COULEURS /  TRES INTERESSANT 


ACHETE LORS DE NOTRE SEJOUR A LILLE AVEC FLORENCE EN 2007
";"";"";"";"";"";"";"";"";"";""
"DU GUESCLIN ";"";"VERCEL  Roger ";"1";"1";"acheté neuf env 50 fr en 1978";"";"1978    ";"PARIS / ALBIN MICHEL ";"";"255";"14 X 20";"BORCHE / NEUF/ EXCELLENT";"K 2";"";"";"MOYEN AGE";"BIOGRAPHIE ";"";"";"";"";"";"";"";"";"1978    ";"30";"LIBRAIRIE   A   ?  ";"";"";"";"";"";"";"";"";"";"";"";"";"";"BON BOUQUIN  SERIEUX ET INTERESSANT  .  

MAIS AUCUNE NOTE  NI CARTE NI ILLUSTR  NI PIECE JUST.  /  JUSTE UNE BIBLIO SYMBOLIQUE ";"";"";"";"";"";"";"";"";"";""
"HISTOIRE DU GENERAL CHANZY";"";"VILLEFRANCHE   JM";"1";"1";"acheté 50 fr chez un bouqu années 80";"";"1885    ";"PARIS / BLOUD ET BARRAL";"";"360";"14 X 23";"BORCHE / BON ETAT";"D 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"BIOGRAPHIE /  OPERATIONS";"ARMEE DE LA LOIRE / BATAILLE DE COULMIERS ";"VILLEPION / BATAILLE DE LOIGNY /   ";"BATAILLE DE VILLARCEAU / BATAILLE DE VENDOME ";"BATAILLE DU MANS / ";"COMBATS DE CHANGE , SAINT-HUBERT, CHAMPAGNY";"COMBATS DE SAINT-JEAN ET SILLE";"LA COMMUNE / CHANZY HOMME POLITIQUE ";"CHANZY ECRIVAIN ";"1985    ";"80";"BOUQUINISTE  NANCY";"";"";"";"";"";"";"";"";"";"";"";"";"";"CE LIVRE RETRACE LA VIE ET LES OPERATIONS MILITIARES DE CE CELEBRE GENERAL 

IL PASSE TRES RAPIDEMENT EN QQ PAGES SUR LA PREMIERES PARTIE DE LA VIE DU GENERAL , POUR ATTAQUER DES LA PAGE 25 SUR LE MOMENT OU CHANZY PREND EN CHARGE LE 16° CORPS( c'est-à-dire à l'armée de la Loire , au moment du siège de Paris par les allemands , donc il s'agit de la seconde phase de la guerre  ) 

L'ESSENTIEL DU BOUQUIN ANALYSE LES OPERATIONS DE L'ARMEE DE LA LOIRE  . 

Les 100 dernières pages du bouquin sont consacrées à son role politique ( notamment pendant la Commune ) puis militaire , à la fin de sa vie  .

TRES INTERESSANT ET TRES DETAILLE SUR CES OPERATIONS 

SANS ILLUSTR NI CARTE ";"";"";"";"";"";"";"";"";"";""
"LIEUTENANT DE PANZERS ";"";"VON KAGENECK  August ";"1";"1";"acheté neuf env 50 fr en 2005 aux Invalides ";"";"2005    ";"PARIS / PERRIN";"";"195";"POCHE";"BROCHE / NEUF / EXCELLENT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"SOUVENIRS ";"PANZERS ";"";"";"";"";"";"";"";"2005    ";"20";"PARIS / INVALIDES ";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES INTERESSANT PETIT LIVRE . 
SOUVENIRS D UN JEUNE HOMME DUNE FAMILLE ARISTOCRATIQUE  DE LA VALLEE DE LA MOSELLE . 

L'enfance vers Trarbach , l'occupation française , la montée du nazisme , l'engagement dans les panzers , la guerre en russie . 
LE RECIT EST VIVANT ET TRES BIEN ECRIT . PARADOXALEMENT , CE NEST PAS LA PERIODE DE GUERRRE LA PLUS INTERESSANTE PARCE QU ELLE EST UN PEU TROP RESUMEE .  

SANS ILLUSTR  NI CARTE ";"";"";"";"";"";"";"";"";"";""
"HISTOIRE DE L'ARMEE FRANCAISE ";"";"WEYGAND   Général  Maxime  ...";"1";"1";"";"";"";"";"";"0";"";"";"E 2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VOIR FICHE A CE TITRE EN SERIE   HMRE 

OUVRAGE TRES INTERESSANT ET TRES COMPLET QUI ETUDIE LA FORMATION ET L' EVOLUTION DE L' ARMEE FRANCAISE , DES ORIGINES , C' EST- A- DIRE DU MOYEN AGE ,  A NOS JOURS . ";"";"";"";"";"";"";"";"";"";""
